,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
297,23876,1462,42,1562,22
298,18859,285,127,344,103
299,18522,769,34,861,25
300,19704,599,60,544,65
301,16523,365,97,338,101
302,14982,425,80,366,91
303,21047,1018,158,1001,161
304,17730,781,36,194,134
305,15771,810,24,594,44
306,21466,1394,57,1295,82
307,15924,623,41,494,69
308,23892,1001,159,978,168
309,15524,609,46,1563,1
310,18140,529,65,100,175
311,16466,307,109,136,160
312,21152,1462,37,1441,41
313,15562,216,138,183,143
314,19095,275,122,118,173
315,20800,1192,109,1157,119
316,23323,1252,91,1525,28
317,22664,1742,3,1500,30
318,14297,744,33,105,160
319,21847,986,168,1077,137
320,19528,294,116,284,118
321,14578,1425,2,920,18
322,21796,1140,124,1067,142
323,16527,869,21,871,20
324,22476,1642,7,804,210
325,15891,227,132,815,24
326,20613,1368,62,1308,77
327,21628,1277,86,1442,43
328,22881,1557,20,1797,2
329,16595,710,37,374,93
330,17452,587,52,713,37
331,22754,1290,83,989,167
332,23692,1298,79,1289,82
333,23301,1346,73,1460,39
334,16157,641,43,338,100
335,19203,610,53,551,62
336,22014,1486,34,1386,58
337,17062,941,17,433,71
338,21548,985,171,1467,37
339,21833,1495,29,1211,103
340,21430,1489,32,1605,11
341,18058,262,127,271,126
342,22673,1322,77,1304,79
343,19888,736,40,664,48
344,19761,413,81,665,50
345,20497,1490,28,1440,41
346,15339,846,20,410,84
347,22660,1088,137,1162,115
348,23651,1203,103,953,176
349,21352,1365,62,1346,68
350,15993,1286,3,1123,7
351,23007,1493,33,1186,105
352,22519,917,184,1052,149
353,14455,187,136,105,166
354,21348,984,171,997,163
355,16305,442,80,347,99
356,18280,293,114,355,96
357,16733,521,62,196,131
358,16921,913,17,639,44
359,20583,948,178,1312,77
360,17470,833,28,713,37
361,23287,1346,72,1489,35
362,15041,549,55,591,46
363,20664,1332,72,1003,162
364,19194,451,78,489,73
365,17008,492,58,301,105
366,14571,700,36,248,126
367,21249,1302,79,1342,69
368,22267,1158,117,954,175
369,15514,146,157,166,149
