,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
7529,20272,289,111,189,145
7530,16426,814,24,610,50
7531,16769,87,165,203,128
7532,15128,976,12,907,18
7533,18089,305,111,7,202
7534,16793,1460,1,496,68
7535,21569,886,200,1154,118
7536,18794,336,113,354,99
7537,19688,1267,6,375,89
7538,17934,118,168,529,65
7539,20323,411,78,308,107
7540,20608,1261,92,1202,108
7541,22265,1215,101,1356,65
7542,15376,1207,4,1139,7
7543,23360,1529,28,1428,52
7544,23562,1282,83,1264,88
7545,22734,1196,104,1106,131
7546,21364,1219,101,1278,85
7547,23784,1035,154,1117,134
7548,19870,328,103,55,187
7549,19371,271,124,122,170
7550,22474,1505,29,1168,110
7551,21780,1163,119,955,176
7552,14365,374,86,544,59
7553,19824,55,187,420,82
7554,20950,1229,100,1414,50
7555,21637,1272,88,1078,137
7556,23705,1153,116,1123,130
7557,14374,348,92,463,69
7558,15806,80,174,89,169
7559,16039,1222,4,1136,6
7560,19756,123,165,363,93
7561,15957,779,29,953,15
7562,23620,1118,132,1118,133
7563,18919,1322,4,468,75
7564,19675,1249,7,713,40
7565,22746,1639,9,1476,35
7566,16124,865,22,241,130
7567,20508,1508,22,1657,3
7568,19584,103,176,115,169
7569,16873,913,17,731,33
7570,19754,722,37,290,112
7571,20856,1335,70,1371,61
7572,20424,908,22,945,20
7573,15750,949,17,1437,2
7574,22372,1370,63,888,195
7575,14489,29,189,277,116
7576,18551,347,97,631,46
7577,18721,1181,8,751,34
7578,17056,262,117,1099,12
7579,16896,330,103,418,80
7580,15675,696,34,810,24
7581,14707,393,91,461,70
7582,18154,344,98,289,118
7583,18771,846,26,851,25
7584,23661,971,169,1398,58
7585,22314,914,187,1124,127
7586,20052,54,185,178,148
7587,21624,1476,35,1462,40
7588,15215,126,161,125,162
7589,19138,932,19,515,68
7590,16141,458,82,241,130
7591,18043,5,203,286,120
7592,20708,1550,15,1568,12
7593,20747,1109,133,1265,92
7594,18997,318,111,1227,7
7595,15250,572,55,541,57
7596,20693,1116,131,1254,93
7597,23099,970,168,1181,107
7598,17508,300,109,985,18
7599,23320,1190,103,1350,70
7600,22343,1280,86,1386,60
7601,23889,1371,66,1169,110
7602,19793,778,33,1007,16
7603,20559,928,184,1207,105
7604,19290,202,142,191,146
7605,22394,1279,87,1436,48
7606,23074,1326,76,1130,127
7607,20512,999,163,868,206
7608,22228,1345,69,1153,119
7609,17592,815,27,937,18
7610,19786,713,40,995,17
7611,21437,1453,42,922,182
7612,20078,121,162,909,22
7613,18189,202,144,71,187
7614,17724,580,60,818,28
7615,14717,119,162,77,178
7616,15482,159,152,126,163
7617,18475,305,109,565,58
7618,21538,1277,87,1277,87
7619,23190,1497,33,1192,103
7620,20243,1228,6,1359,4
7621,15146,608,42,358,95
7622,15813,270,117,234,130
7623,16499,871,20,869,21
7624,19266,1443,3,1113,14
7625,22264,1550,20,1402,55
7626,17386,328,100,241,125
7627,22150,1485,32,1418,52
7628,15446,1106,8,944,18
7629,21360,868,202,997,163
7630,22941,1337,73,1420,52
7631,17498,727,39,678,43
7632,16224,550,60,452,78
7633,16308,301,113,240,131
7634,19953,562,65,1444,4
7635,20239,530,63,1185,9
7636,16416,1159,6,605,52
7637,21875,1055,147,1546,20
7638,18120,164,157,66,186
7639,18491,718,39,741,38
7640,17568,916,23,841,30
7641,20188,151,152,77,184
7642,14312,284,110,90,172
7643,23787,1275,86,1153,116
7644,18905,305,120,594,49
7645,19258,793,33,274,122
7646,16722,282,108,203,128
7647,17107,557,48,320,100
7648,17404,338,96,464,71
7649,17968,169,151,347,94
7650,18272,547,64,805,28
7651,23632,1375,63,1497,33
7652,17788,926,23,806,31
7653,21510,867,204,996,163
7654,14569,106,167,359,94
7655,21359,1515,22,1501,25
7656,23102,1254,90,1494,31
7657,21692,1719,3,1482,34
7658,14318,791,28,530,60
7659,22540,1129,128,1017,160
7660,16571,242,124,293,112
7661,23309,981,166,1052,148
